timestamps,open,high,low,close,volume,amount
2000-01-04,1256.9290771484375,1256.9290771484375,1256.9290771484375,1256.9290771484375,39636000,49819640901.85547
2000-01-05,1153.213631435415,1166.6494497386407,933.5538921143835,1056.819580078125,338472000,357703836908.2031
2000-01-06,1050.7055729616081,1077.5406298499386,995.7906494140625,995.7906494140625,112341600,111868714820.21484
2000-01-07,934.7617797851562,976.2774598179126,934.7617797851562,934.7617797851562,234532800,219232297545.9961
2000-01-10,934.7617797851562,934.7617797851562,934.7617797851562,934.7617797851562,0,0.0
2000-01-11,995.7906494140625,995.7906494140625,995.7906494140625,995.7906494140625,9223200,9184376317.675781
2000-01-12,1001.904645247867,1056.819580078125,949.4059675501406,1056.819580078125,207943200,219758445304.10156
2000-01-13,1117.811767578125,1117.811767578125,1101.9595859023384,1117.811767578125,95104800,106309264593.16406
2000-01-14,1178.840363961895,1178.840363961895,1056.8193996064263,1109.281494140625,257083200,285177636214.4531
2000-01-17,1145.891394677956,1170.310302734375,1128.7946195999514,1170.310302734375,143100000,167471404321.28906
2000-01-18,1176.3875186582331,1220.31945848302,1154.4215487458396,1170.310302734375,151005600,176723409450.58594
2000-01-19,1152.0053061426747,1155.6662654209374,1109.281494140625,1109.281494140625,85838400,95218948606.64062
2000-01-20,1072.6713444074237,1104.4121643597903,1048.25244140625,1048.25244140625,147895200,155031504472.26562
2000-01-21,1072.671040699291,1083.6540202721312,989.676289308641,1037.2691650390625,119577600,124034157309.375
2000-01-24,1062.8964427543226,1099.50634765625,1062.8964427543226,1099.50634765625,65944800,72506726194.92188
2000-01-25,1075.124290591083,1137.3612349139935,1064.1413067256108,1108.0732421875,110700000,122663707910.15625
2000-01-26,1108.0733874230148,1137.3613839882948,1108.0733874230148,1133.7003173828125,60220800,68272340073.046875
2000-01-27,1133.6999341845337,1160.5350907131337,1122.7169525918407,1158.0821533203125,96638400,111915206365.42969
2000-01-28,1188.6153232117924,1219.1114501953125,1177.6323371739968,1219.1114501953125,152798400,186278279011.52344
2000-01-31,1200.8063063014906,1281.3482666015625,1200.8063063014906,1281.3482666015625,191570400,245468399972.16797
2000-02-01,1342.3766515877808,1354.567761765437,1220.3191458012222,1293.5390625,202888800,262444588143.75
2000-02-02,1354.5677904593974,1366.7589008952991,1256.9290771484375,1256.9290771484375,165564000,208102205729.0039
2000-02-03,1293.5389796301586,1513.1986083984375,1256.9289699983267,1513.1986083984375,335102400,507076485350.97656
2000-02-04,1574.227559564822,1696.2485031739066,1549.8087626172728,1623.0286865234375,363096000,589315223961.9141
2000-02-07,1671.866380237598,1684.0574923431557,1586.4187656599054,1635.2564697265625,171201600,279958524027.53906
2000-02-08,1684.0572281181192,1684.0572281181192,1525.4263916015625,1525.4263916015625,176709600,269557487489.35547
2000-02-09,1647.4475818321202,1647.4475818321202,1574.2276535543476,1635.2564697265625,152971200,250147144481.83594
2000-02-10,1610.8377273215942,1830.4973052799376,1586.4188208114954,1806.07861328125,470426400,849627060162.8906
2000-02-11,1806.07861328125,1806.07861328125,1806.07861328125,1806.07861328125,0,0.0
2000-02-14,1793.8874296008694,2074.575938758072,1781.696316826125,2062.34814453125,474379200,978335062924.2188
2000-02-15,2245.398028901388,2416.256585985366,1915.9084944488382,2062.34814453125,476042400,981765160358.2031
2000-02-16,2001.355867558282,2159.9866109045056,1940.3269482867122,2074.57568359375,321516000,667009275486.3281
2000-02-17,2135.567921417754,2147.7954996292183,2037.9656683203214,2074.57568359375,230342400,477862741940.625
2000-02-18,2135.5684820895226,2221.01611328125,2098.9584572045046,2221.01611328125,218181600,484584849221.4844
2000-02-21,2159.986380260856,2269.816199842109,2147.7952702873367,2172.177490234375,238248000,517516942693.3594
2000-02-22,2208.7877118271417,2233.206615541978,1940.3269257752809,1989.1280517578125,283003200,562929603857.2266
2000-02-23,1964.7457951907065,2001.3558094002738,1854.9159670733882,1915.908203125,233647200,447646587117.1875
2000-02-24,2074.5761293695273,2086.7672432643876,1964.7462744608752,2025.738525390625,135604800,274699867587.89062
2000-02-25,2025.7382905193315,2050.156982421875,1976.9371591426186,2050.156982421875,94176000,193075583976.5625
2000-02-28,2050.1566738741635,2098.9577979063283,2001.3557643533775,2013.546875,97610400,196543115887.5
2000-02-29,1976.9369704899877,2013.5469858917472,1940.3269550882285,1952.51806640625,97740000,190839115810.54688
2000-03-01,2013.5466079541088,2025.7377169838899,1854.9156793150662,1903.716796875,156016800,297011802754.6875
2000-03-02,1879.298268921634,1891.5260618097227,1806.078451896741,1818.3060302734375,129578400,235613186113.1836
2000-03-03,1757.277222373169,1806.0783467399503,1635.256285244632,1696.2484130859375,251985600,427430174120.5078
2000-03-06,1708.476615404349,1793.8875594003382,1342.377034685795,1427.7880859375,394891200,563820950601.5625
2000-03-07,1366.7591295665661,1647.4476318359375,1293.5393063221056,1647.4476318359375,343332000,565621490333.4961
2000-03-08,1525.4264515519137,1610.8374818911482,1488.8165453460997,1586.4185791015625,252072000,399891704071.28906
2000-03-09,1537.6177262125377,1574.227636322841,1378.9868665435113,1391.177978515625,242416800,337244913782.22656
2000-03-10,1427.7879011442412,1476.588923654527,1210.5810546875,1210.5810546875,270302400,327222964476.5625
2000-03-13,1149.552001953125,1149.552001953125,1149.552001953125,1149.552001953125,43480800,49983440686.52344
2000-03-14,1088.5233154296875,1198.3531323431864,1088.5233154296875,1088.5233154296875,412344000,448846057977.53906
2000-03-15,1106.8282075404868,1149.552001953125,1104.4119518153504,1149.552001953125,149061600,171354060694.33594
2000-03-16,1210.5810546875,1210.5810546875,1210.5810546875,1210.5810546875,25401600,30750695718.75
2000-03-17,1281.3482666015625,1281.3482666015625,1281.3482666015625,1281.3482666015625,9374400,12011871190.429688
2000-03-20,1281.3482666015625,1281.3482666015625,1281.3482666015625,1281.3482666015625,0,0.0
2000-03-21,1403.3688856634005,1525.4263916015625,1378.9866652778041,1525.4263916015625,268617600,409756376288.6719
2000-03-22,1525.4268421706447,1525.4268421706447,1330.1493617631709,1366.75927734375,207208800,283204549747.2656
2000-03-23,1342.3763015719906,1403.3685180012149,1199.597570954184,1232.5465087890625,184356000,227227344174.3164
2000-03-24,1214.2417036914535,1269.1566041017816,1061.6881103515625,1061.6881103515625,161956800,171947608950.58594
2000-03-27,1049.4977006130148,1114.1508148678927,994.582763671875,994.582763671875,129016800,128317885504.10156
2000-03-28,946.4413182059457,1056.35205078125,934.2412268900869,1056.35205078125,347889600,367493892405.46875
2000-03-29,1117.4259033203125,1117.4259033203125,1116.2168851685456,1117.4259033203125,56289600,62899457127.53906
2000-03-30,1178.49951171875,1178.49951171875,1173.5902370705805,1178.49951171875,68580000,80821496513.67188
2000-03-31,1117.4259033203125,1127.207959275517,1117.4259033203125,1117.4259033203125,93787200,104800246679.88281
2000-04-03,1056.35205078125,1056.35205078125,1056.35205078125,1056.35205078125,10886400,11499870965.625
2000-04-04,995.3154296875,995.3154296875,995.3154296875,995.3154296875,3650400,3633299444.53125
2000-04-05,934.2415161132812,934.2415161132812,934.2415161132812,934.2415161132812,17474400,16325309949.169922
2000-04-06,928.1229014202838,991.6513099428525,873.1675843933745,897.6043701171875,390506400,350520251198.73047
2000-04-07,840.1943982769517,902.4771365322237,834.1126524349099,860.967529296875,335448000,288809835767.5781
2000-04-10,891.4860129816226,922.0411987304688,885.4042674734299,922.0411987304688,113745600,104878129374.3164
2000-04-11,909.8041338394163,970.8777719220839,887.8219411298137,915.9224243164062,191181600,175107514556.68945
2000-04-12,891.4861736383108,897.6045213842366,854.8492357788485,870.7496948242188,130183200,113356981671.24023
2000-04-13,852.431059874224,863.4221340706827,809.67578125,809.67578125,154504800,125098794646.875
2000-04-14,748.6021118164062,748.6021118164062,748.6021118164062,748.6021118164062,7560000,5659431965.332031
2000-04-17,748.6021118164062,748.6021118164062,748.6021118164062,748.6021118164062,0,0.0
2000-04-18,626.4912109375,626.4912109375,626.4912109375,626.4912109375,4255200,2665845400.78125
2000-04-19,565.417724609375,569.0813816110141,565.417724609375,565.417724609375,320025600,180948146568.75
2000-04-20,532.4443903316655,602.0545043945312,528.7806803456435,602.0545043945312,485438400,292260375326.0742
2000-04-21,638.6912841796875,638.6912841796875,638.6912841796875,638.6912841796875,56332800,35979268373.4375
2000-04-24,669.246717752902,699.7652587890625,668.0010443974401,699.7652587890625,374133600,261805695425.6836
2000-04-25,765.3451276923447,773.0388793945312,751.0567316739982,773.0388793945312,164836800,127425255154.98047
2000-04-26,846.3126831054688,846.3126831054688,846.3126831054688,846.3126831054688,1058400,895737343.7988281
2000-04-27,919.5865478515625,919.5865478515625,838.9853217329103,919.5865478515625,301600800,277348038501.26953
2000-04-28,926.914046384657,992.1278359747371,873.7905478096898,974.5421142578125,159847200,155777828246.1914
2000-05-01,967.214388772298,1047.44921875,959.8869712609434,1047.44921875,113054400,118418742956.25
2000-05-02,1084.0860916373863,1087.0170801088668,1016.6742154708814,1047.44921875,103320000,108222453281.25
2000-05-03,1047.44921875,1047.44921875,1047.44921875,1047.44921875,0,0.0
2000-05-04,1047.44921875,1047.44921875,1047.44921875,1047.44921875,0,0.0
2000-05-05,1047.44921875,1047.44921875,1047.44921875,1047.44921875,0,0.0
2000-05-08,1069.4316119645055,1083.3536762643794,985.1666667132148,988.4639892578125,101361600,100192291493.55469
2000-05-09,988.4639892578125,988.4639892578125,988.4639892578125,988.4639892578125,0,0.0
2000-05-10,856.570702569606,952.5593942766335,841.9159253189815,915.9224243164062,130370400,119409172827.09961
2000-05-11,849.9761589806577,866.0963782501778,842.6487426757812,842.6487426757812,91123200,76784849908.59375
2000-05-12,879.2860107421875,899.4363330441489,856.9374734133705,879.2860107421875,71280000,62675506845.703125
2000-05-15,882.9496485235506,904.1990766105099,809.6757844768965,838.9853515625,54115200,45401860096.875
2000-05-16,838.9853515625,838.9853515625,838.9853515625,838.9853515625,0,0.0
2000-05-17,893.9408387646387,897.2381614645893,815.9042015324725,827.994384765625,51688800,42798036155.27344
2000-05-18,784.0300278450794,787.3273503168568,754.720458984375,754.720458984375,60120000,45373793994.140625
2000-05-19,681.4466552734375,681.4466552734375,681.4466552734375,681.4466552734375,15616800,10642016126.074219
2000-05-22,608.1729736328125,608.1729736328125,608.1729736328125,608.1729736328125,14565600,8858404264.746094
2000-05-23,600.8453744846455,652.1370900996667,534.898928980208,564.20849609375,236404800,133381596677.34375
2000-05-24,520.2442147876671,553.2174385347582,491.6674208735215,516.5805053710938,142401600,73561890493.65234
2000-05-25,567.8722190113624,589.8543701171875,562.0103478280497,589.8543701171875,86702400,51141789539.64844
2000-05-26,604.5090924305861,663.128173828125,560.5447947992707,663.128173828125,118425600,78531351862.5
2000-05-29,666.7917892051315,714.4197933152667,641.1459862489721,670.089111328125,86133600,57717187479.49219
2000-05-30,670.089111328125,670.089111328125,670.089111328125,670.089111328125,0,0.0
2000-05-31,696.834189897017,700.864233043053,586.9234343927557,604.5091552734375,120780000,73012615773.92578
2000-06-01,597.1817441143153,660.929977465962,589.8543251922098,630.1549682617188,110736000,69780840565.42969
2000-06-02,659.4643960147438,673.3864042637161,641.1459584590065,657.632568359375,66700800,43864618415.625
2000-06-05,701.5968612548552,730.9063720703125,683.2783700362633,730.9063720703125,78386400,57293119243.65234
2000-06-06,738.2337618541646,776.7025196075367,707.0924223082409,762.0477905273438,103269600,78696370508.64258
2000-06-07,740.0657750633852,764.9788618712203,725.7773767813079,743.7294311523438,86284800,64172545221.09375
2000-06-08,751.0568996287916,754.354222524234,727.2428651612418,732.7384033203125,42775200,31343031749.70703
2000-06-09,732.7381461547095,740.0655635733784,693.5366722674802,707.0923461914062,46440000,32837368557.128906
2000-06-12,692.4378193723749,699.7651858152358,670.4556663764265,688.4077758789062,29304000,20173101464.35547
2000-06-13,659.098300800444,666.4257220004782,622.8277429626079,631.62060546875,43473600,27458821553.90625
2000-06-14,631.6204301468869,677.4166120994305,604.5091295008183,671.5546875,59882400,40214306418.75
2000-06-15,652.1372595509938,655.4345826829921,618.797641105,621.3622436523438,44776800,27822612911.572266
2000-06-16,621.3620610177726,655.8007233846397,608.1727723664568,626.4912109375,36698400,22991225055.46875
2000-06-19,630.1549331624094,641.1460072660134,607.0736775448412,622.8275146484375,26971200,16798405463.085938
2000-06-20,633.8186188567579,659.4644775390625,630.1549630931119,659.4644775390625,48405600,31921773713.964844
2000-06-21,666.791924610793,673.0202367750232,652.137192422004,666.0592041015625,49485600,32960339350.48828
2000-06-22,680.7139761417463,688.7740625817815,641.1461034338435,664.9600830078125,56131200,37325007411.328125
2000-06-23,642.9778708743677,649.5725157038485,630.1549682617188,630.1549682617188,47836800,30144597185.742188
2000-06-26,600.8455234762922,602.677405417237,564.5749694548433,580.6952514648438,109130400,63371505070.458984
2000-06-27,573.367689155957,593.1516228175761,560.911174110211,569.337646484375,121154400,68977760957.22656
2000-06-28,547.355543244308,565.6739839644355,508.1540597096386,523.5415649414062,255103200,133557128549.56055
2000-06-29,538.1960831616652,550.652647977753,525.7395720129155,531.235107421875,124207200,65983225234.57031
2000-06-30,524.274150466919,540.0280387054943,512.9166911630767,527.5714721679688,72806400,38410579631.25
2000-07-03,534.8989660337971,542.9591055984674,518.412353515625,518.412353515625,63151200,32738362219.335938
2000-07-04,519.5113190558853,528.3041766628529,508.52024704717587,509.6193542480469,95673600,48757118250.58594
2000-07-05,494.9646911083611,498.26201313572835,436.7119751245304,456.1295471191406,273600000,124797044091.79688
2000-07-06,412.16534182162354,424.62188542989446,392.0150451660156,392.0150451660156,249688800,97881766209.44824
2000-07-07,435.61294879554515,465.28887939453125,429.0183035143661,465.28887939453125,237607200,110555987824.07227
2000-07-10,516.5804291586377,524.6405672190234,467.1206008349384,476.27984619140625,139521600,66451326188.37891
2000-07-11,457.9614357039724,460.526037733213,441.47485020830004,443.6730651855469,73634400,32669599951.098633
2000-07-12,443.67299740480996,443.67299740480996,407.40245582135424,426.0872802734375,193435200,82420278277.14844
2000-07-13,439.6430793122716,463.45706155256363,417.2945650584591,443.3067626953125,155397600,68888806986.6211
2000-07-14,465.2887376495793,478.84435748641835,454.2976655292533,468.952392578125,120801600,56650199347.265625
2000-07-17,483.6072440428648,488.3700605475559,470.7843425823608,474.447998046875,104443200,49552867149.609375
2000-07-18,471.1507364223486,471.1507364223486,441.4748603794893,446.97039794921875,84441600,37742895555.46875
2000-07-19,471.1507364223486,471.1507364223486,441.4748603794893,446.97039794921875,84441600,37742895555.46875
2000-07-20,446.97039794921875,446.97039794921875,446.97039794921875,446.97039794921875,0,0.0
2000-07-21,443.30670893719986,451.7332092133969,424.98826740971873,433.7811279296875,80179200,34780223812.5
2000-07-24,423.5227524233607,426.08735450761486,399.3423871549501,409.96710205078125,126712800,51948079408.740234
2000-07-25,384.6876091131285,402.2733283868715,375.52838926928,393.48046875,145396800,57210801018.75
2000-07-26,393.4804648571194,393.4804648571194,379.1920680885647,388.3512878417969,59976000,23291756839.59961
2000-07-27,373.69656032986114,376.99388292100696,359.40816243489587,375.894775390625,136778400,51414285946.28906
2000-07-28,357.57629313877374,361.2400026475993,333.39592844871225,335.227783203125,179992800,60338587336.52344
2000-07-31,302.2545586257685,335.227783203125,299.3235963854438,335.227783203125,206683200,69285950961.32812
2000-08-01,342.55506575819317,367.46814291007144,326.0684587457722,338.891357421875,175118400,59346112285.546875
2000-08-02,328.63315835118436,337.0596585355185,324.2367281391284,324.60308837890625,70113600,22759091097.36328
2000-08-03,324.603146952371,333.0296486572369,300.0564161169164,304.08648681640625,135684000,41259670877.197266
2000-08-04,300.42268057279534,311.41375457952785,286.50067138671875,286.50067138671875,186710400,53492654954.88281
2000-08-07,304.08641611077906,323.1376037597656,299.68998612765296,323.1376037597656,186976800,60419235110.668945
2000-08-08,334.12875901442305,359.40823749248796,332.6632909457638,357.21002197265625,282254400,100824100425.8789
2000-08-09,371.8647406265409,393.8468933105469,369.6665253581403,393.8468933105469,203486400,80142486470.94727
2000-08-10,422.79005322114347,428.2855910583608,377.7266429559617,399.3424072265625,245570400,98066674679.58984
2000-08-11,384.6876065965109,408.5016102351399,381.0239240496748,403.0060729980469,106128000,42770228515.13672
2000-08-14,410.3334689688118,426.8200819206883,406.6697861462881,418.0272216796875,94320000,39428327548.828125
2000-08-15,430.4837916774882,434.14747450086804,407.03614647355346,415.462646484375,102196800,42458952990.234375
2000-08-16,408.1352854822514,409.96714045206704,395.6787414550781,395.6787414550781,53949600,21346709830.004883
2000-08-17,390.18321515511775,392.01507018021914,370.03291721373364,379.192138671875,75895200,28778863202.929688
2000-08-18,371.8647218904006,393.1141529700905,362.7055010114397,384.6876525878906,88120800,33898983696.166992
2000-08-21,392.0150048669848,403.0060795190154,378.0929680298532,398.6096496582031,95630400,38119200240.67383
2000-08-22,405.93705975400854,409.96712984990853,384.68765535514206,394.94598388671875,63878400,25228517537.109375
2000-08-23,394.9459338278585,408.8679704397201,389.0840363861853,403.0060729980469,81194400,32721836293.432617
2000-08-24,417.6608551025391,439.64300537109375,414.7298927888386,439.64300537109375,217886400,95792231725.48828
2000-08-25,461.99158667878527,512.916870537151,454.6641667801672,512.550537109375,424317600,217484213784.96094
2000-08-28,519.8779366118805,571.1696108479612,509.25324684649667,520.2443237304688,330400800,171889140756.00586
2000-08-29,505.58966523857526,529.4036533208304,496.43041428353195,511.085205078125,173239200,88539992059.57031
2000-08-30,496.4301126517896,500.0938215412077,466.0214952384002,469.3188171386719,204084000,95780461476.92871
2000-08-31,487.27081159291066,516.2139282226562,481.77527632557457,516.2139282226562,197323200,101860984201.46484
2000-09-01,538.1965170641099,540.3947329999298,507.7878811743952,511.085205078125,213861600,109301499694.33594
2000-09-04,516.5805012311612,519.5114365405171,490.5683094838171,503.7575988769531,93772800,47238760567.96875
2000-09-05,483.97374369728993,497.1630352408888,478.1118184554578,490.9347229003906,104551200,51327814400.90332
2000-09-06,485.8055671808837,512.916870537151,479.2109214725459,512.550537109375,116877600,59905676656.05469
2000-09-07,501.9258368581734,506.68865482883996,485.4392211912914,496.06396484375,108684000,53914215955.078125
2000-09-08,507.4214117519153,512.184230063663,496.79672100595633,501.9258728027344,65023200,32636826412.426758
2000-09-11,487.2709531747312,490.93460863924537,472.6161703146179,474.447998046875,103075200,48903822288.28125
2000-09-12,452.4658877413415,454.29776929136244,431.21648573321534,442.9403076171875,270799200,119947880950.48828
2000-09-13,428.28560003457784,444.7722138917641,422.4236749962351,432.3156433105469,142588800,61643368800.87891
2000-09-14,428.6520337115663,442.94043483528515,407.7689859153618,420.5919189453125,110764800,46586779783.59375
2000-09-15,420.5919189453125,420.5919189453125,420.5919189453125,420.5919189453125,0,0.0
2000-09-18,398.609758781415,401.17433462440636,368.2011016415784,379.9249267578125,214272000,81407273906.25
2000-09-19,357.94271024209473,392.0150451660156,353.1798928474797,392.0150451660156,247543200,97040658728.54004
2000-09-20,403.0060532845216,413.2643800140709,386.88580256636425,408.8679504394531,186350400,76192706111.57227
2000-09-21,388.35140014552525,435.2466735839844,387.6186795269318,435.2466735839844,147470400,64186001052.09961
2000-09-22,413.2645409074186,429.38479790156117,396.4115632546926,396.7779235839844,173808000,68963177342.28516
2000-09-25,428.6519087121842,430.1173763786066,408.50161425574345,413.264404296875,64670400,26725974331.640625
2000-09-26,405.93701171875,412.1652962511038,392.7477222387147,405.93701171875,51040800,20719349827.734375
2000-09-27,383.95486046414163,393.84682751951846,371.86467850757,373.696533203125,123523200,46160191610.15625
2000-09-28,359.04173800650636,382.85571235109023,359.04173800650636,360.8735656738281,176558400,63715259357.666016
2000-09-29,375.5285288171619,382.85589668164823,370.0329895019531,370.0329895019531,88300800,32674208999.414062
2000-10-02,362.33913461057404,373.330210212172,359.77453241441407,371.8647155761719,96897600,36032798464.01367
2000-10-03,364.53743104073067,371.13207787262115,363.0719360778528,366.0028991699219,82260000,30107398485.717773
2000-10-04,362.7054984269742,368.20103628192834,359.04181546823173,367.1019287109375,81900000,30065647961.42578
2000-10-05,369.6665504422921,372.96387356863664,355.7445373535156,355.7445373535156,74563200,26525451087.597656
2000-10-06,348.41704239516207,351.3480043777454,329.73221677775587,342.5551452636719,126324000,43272936170.288086
2000-10-09,342.5551452636719,342.5551452636719,342.5551452636719,342.5551452636719,0,0.0
2000-10-10,320.573021528643,329.7322415150573,315.0774841700587,317.6420593261719,161935200,51437430405.39551
2000-10-11,313.97830539786,323.1375233043324,305.5518077503551,314.34466552734375,132739200,41725859426.36719
2000-10-12,304.0863775339726,311.413742020504,293.46166414472367,300.42266845703125,224539200,67456665637.20703
2000-10-13,291.2635266258221,318.3748575456168,287.2334563065643,316.90936279296875,193392000,61287735489.25781
2000-10-16,316.90936279296875,316.90936279296875,316.90936279296875,316.90936279296875,0,0.0
2000-10-17,320.5729975866456,320.5729975866456,290.5307110476409,291.2634582519531,145000800,42233434457.299805
2000-10-18,283.9360119701564,283.9360119701564,266.3502971264064,274.77679443359375,244944000,67304927135.74219
2000-10-19,285.76800742845853,305.91830670000627,269.6477519110096,293.4617614746094,199864800,58652676264.77051
2000-10-20,319.10753704307876,322.77124661977166,307.75010175616114,313.61199951171875,151588800,47540066671.58203
2000-10-23,313.61203228137094,318.3748498620077,288.6989440917969,288.6989440917969,101916000,29423041586.05957
2000-10-24,289.4316472821375,301.1554701498044,285.40160413518987,294.92718505859375,85003200,25069754496.972656
2000-10-25,294.92713927836445,301.15542340278625,281.00513029484716,281.3714904785156,108568800,30548165075.463867
2000-10-26,270.3806029171511,274.77703548490973,263.7859540655133,274.4106750488281,128390400,35231696333.78906
2000-10-27,274.4106750488281,274.4106750488281,274.4106750488281,274.4106750488281,0,0.0
2000-10-30,274.0441631081906,275.1432707501134,247.66557970204343,250.59654235839844,139363200,34923936052.00195
2000-10-31,246.93284970459607,247.66557021535638,231.54534330708643,239.97181701660156,260611200,62539343198.87695
2000-11-01,250.96282815664443,263.7857557852057,248.03189320370305,260.4884338378906,228600000,59547655975.3418
2000-11-02,259.3893601437832,263.7857899767287,249.13103281146985,258.2902526855469,105818400,27331861274.780273
2000-11-03,258.2902526855469,258.2902526855469,258.2902526855469,258.2902526855469,0,0.0
2000-11-06,264.51856058465603,294.92718505859375,262.6867057146104,294.92718505859375,192470400,56764753279.10156
2000-11-07,293.095419251417,314.7111878724234,289.4317087334572,302.6210021972656,206395200,62459522272.70508
2000-11-08,298.9572156180266,317.6420415941533,293.09531837399686,311.41375732421875,182656800,56881840388.81836
2000-11-09,296.7590229074919,301.8882001492181,291.2634854462421,296.0262756347656,124459200,36843193444.48242
2000-11-10,285.7678662109375,285.7678662109375,270.74672583734394,274.77679443359375,155160000,42634367424.31641
2000-11-13,245.46746682438953,256.82493508491814,242.1701425230155,251.6957550048828,193730400,48761119295.39795
2000-11-14,254.6266372187187,268.18229049882433,251.6956742796343,256.4584655761719,160869600,41256370773.85254
