timestamps,open,high,low,close,volume,amount
1999-01-04,14.5,14.75,13.8125,14.0,4987600,69826400.0
1999-01-05,13.96875,14.28125,13.5,13.84375,10463200,144849925.0
1999-01-06,14.0625,14.1875,13.5625,13.625,12031200,163925100.0
1999-01-07,13.5,14.15625,13.4375,13.71875,9706000,133154187.5
1999-01-08,14.25,14.3125,13.84375,14.0,6955800,97381200.0
1999-01-11,14.25,15.96875,14.25,15.9375,19264000,307020000.0
1999-01-12,16.125,16.5,15.375,15.75,15023000,236612250.0
1999-01-13,14.75,16.40625,13.875,13.875,20616000,286047000.0
1999-01-14,12.625,12.625,11.0,11.25,44225200,497533500.0
1999-01-15,11.5,11.5,10.5,11.1875,16846600,188471337.5
1999-01-19,11.6875,12.0,10.84375,11.0625,8237800,91130662.5
1999-01-20,11.0625,11.21875,10.375,11.0,10568400,116252400.0
1999-01-21,10.4375,10.625,9.875,10.5,13118200,137741100.0
1999-01-22,10.375,11.03125,10.3125,10.78125,9179000,98961093.75
1999-01-25,11.0625,11.25,10.6875,10.71875,7139000,76521156.25
1999-01-26,10.875,11.25,10.6875,11.0,4653600,51189600.0
1999-01-27,11.0625,11.125,10.59375,10.625,3121600,33167000.0
1999-01-28,11.0,11.5,10.90625,11.4375,9317200,106565475.0
1999-01-29,11.5625,11.75,11.25,11.46875,6167600,70734662.5
1999-02-01,12.46875,12.71875,12.15625,12.4375,17797600,221357650.0
1999-02-02,12.53125,12.65625,11.96875,12.15625,6877800,83608256.25
1999-02-03,12.0,12.25,10.0,10.46875,25487600,266823312.5
1999-02-04,8.875,9.5,8.75,9.46875,25440200,240886893.75
1999-02-05,8.5,8.625,8.25,8.40625,20294400,170599800.0
1999-02-08,8.5,8.59375,8.40625,8.5625,9208800,78850350.0
1999-02-09,8.5625,8.59375,8.375,8.375,4825200,40411050.0
1999-02-10,8.40625,8.4375,8.28125,8.3125,4238400,35231700.0
1999-02-11,8.34375,8.625,8.34375,8.59375,5278400,45361250.0
1999-02-12,8.6875,8.875,8.46875,8.78125,6549000,57508406.25
1999-02-16,8.875,8.9375,8.53125,8.53125,3721800,31751606.25
1999-02-17,8.5,8.6875,8.4375,8.5,5718200,48604700.0
