timestamps,open,high,low,close,volume,amount
1999-01-04,13.71875,13.78125,12.5625,13.21875,2592600,34270931.25
1999-01-05,13.125,13.125,12.65625,13.0625,2183600,28523275.0
1999-01-06,13.0625,13.65625,12.625,13.65625,3344400,45671962.5
1999-01-07,13.0625,13.75,13.0625,13.59375,3772400,51281062.5
1999-01-08,13.6875,13.6875,12.8125,13.03125,6510800,84843862.5
1999-01-11,13.03125,13.03125,12.71875,12.84375,2956800,37976400.0
1999-01-12,12.75,12.75,12.53125,12.5625,4035000,50689687.5
1999-01-13,12.0625,12.59375,12.0625,12.375,2946000,36456750.0
1999-01-14,12.375,12.5,12.0,12.03125,1856600,22337218.75
1999-01-15,12.15625,12.46875,11.96875,12.25,2970600,36389850.0
1999-01-19,12.125,12.21875,11.78125,11.875,3395600,40322750.0
1999-01-20,11.78125,12.8125,11.6875,12.3125,4881600,60104700.0
1999-01-21,12.25,12.59375,11.9375,12.0625,2696600,32527737.5
1999-01-22,11.75,12.1875,11.5,11.65625,3342600,38962181.25
1999-01-25,11.84375,12.125,11.6875,11.8125,2092800,24721200.0
1999-01-26,11.8125,12.0625,11.59375,11.90625,2880200,34292381.25
1999-01-27,12.125,12.125,11.5,11.875,6757600,80246500.0
1999-01-28,11.96875,12.15625,11.6875,12.125,2695600,32684150.0
1999-01-29,12.0625,12.25,11.875,12.1875,4244800,51733500.0
1999-02-01,12.125,12.375,11.875,12.0625,2700600,32575987.5
1999-02-02,11.96875,12.09375,11.75,11.90625,2065800,24595931.25
1999-02-03,12.0,13.09375,11.84375,12.75,5917600,75449400.0
1999-02-04,12.78125,12.96875,12.1875,12.75,2684600,34228650.0
1999-02-05,12.75,12.875,12.375,12.59375,2275000,28650781.25
1999-02-08,12.65625,13.1875,12.53125,13.0,2078600,27021800.0
1999-02-09,13.09375,13.21875,12.8125,12.8125,2381400,30511687.5
1999-02-10,12.78125,12.875,12.53125,12.6875,1523800,19333212.5
1999-02-11,12.6875,13.1875,12.65625,13.0,1857000,24141000.0
1999-02-12,13.125,13.59375,13.125,13.40625,3039800,40752318.75
1999-02-16,13.5625,13.6875,13.40625,13.625,2558600,34860925.0
1999-02-17,13.8125,14.0,13.4375,13.53125,3008000,40702000.0
1999-02-18,13.75,14.09375,13.65625,14.0,2711000,37954000.0
1999-02-19,13.75,14.03125,13.4375,13.71875,4932000,67660875.0
1999-02-22,14.0,14.5,13.875,14.25,4282800,61029900.0
1999-02-23,14.5,14.625,13.78125,13.8125,2836800,39183300.0
1999-02-24,13.4375,14.0,13.1875,13.28125,4749400,63077968.75
1999-02-25,13.25,13.25,12.53125,13.09375,4106600,53770793.75
1999-02-26,13.3125,13.375,12.6875,13.25,2622600,34749450.0
1999-03-01,13.75,13.9375,13.375,13.9375,3063600,42698925.0
1999-03-02,13.875,15.625,13.875,14.8125,8593200,127286775.0
1999-03-03,14.78125,15.40625,14.78125,14.96875,4860000,72748125.0
1999-03-04,14.625,15.09375,14.5625,15.03125,3026400,45490575.0
1999-03-05,15.1875,15.59375,15.15625,15.375,4423800,68015925.0
1999-03-08,15.0,15.125,14.5625,15.0625,1890600,28477162.5
1999-03-09,14.9375,15.40625,14.875,15.1875,1345400,20433262.5
1999-03-10,15.125,15.125,14.75,14.90625,1353200,20171137.5
1999-03-11,15.0,16.75,14.96875,16.0625,5753600,92417200.0
1999-03-12,16.3125,16.6875,16.0625,16.375,2360000,38645000.0
1999-03-15,16.46875,16.9375,16.09375,16.9375,4034600,68336037.5
1999-03-16,17.0625,17.375,16.125,17.15625,5047400,86594456.25
1999-03-17,17.09375,17.125,16.34375,17.0,1633600,27771200.0
1999-03-18,18.625,19.625,18.5,19.25,21155600,407245300.0
1999-03-19,19.9375,21.625,19.75,20.75,19135400,397059550.0
1999-03-22,20.3125,20.34375,19.6875,19.8125,4212200,83454212.5
1999-03-23,19.78125,19.90625,19.1875,19.28125,4394400,84729525.0
1999-03-24,19.375,19.5,19.0625,19.125,2462000,47085750.0
1999-03-25,19.15625,19.46875,19.03125,19.1875,2944200,56491837.5
1999-03-26,19.0625,19.34375,18.8125,18.875,2451800,46277725.0
1999-03-29,19.0,19.8125,18.9375,19.625,1908400,37452350.0
1999-03-30,19.625,19.8125,19.53125,19.65625,2259000,44403468.75
1999-03-31,20.25,20.8125,19.875,20.3125,5598000,113709375.0
1999-04-01,20.1875,20.5,19.78125,19.875,3088200,61377975.0
1999-04-05,20.0,20.3125,19.8125,20.03125,1646600,32983456.25
1999-04-06,20.0625,20.6875,20.0625,20.5,3336800,68404400.0
1999-04-07,20.75,20.75,19.78125,20.0,1959000,39180000.0
1999-04-08,20.125,20.375,19.71875,19.9375,1513800,30181387.5
1999-04-09,19.5,20.0,19.5,19.9375,2108800,42044200.0
1999-04-12,19.25,20.375,19.25,20.3125,2875000,58398437.5
1999-04-13,20.21875,20.71875,19.75,20.5625,2289400,47075787.5
1999-04-14,20.4375,20.4375,19.78125,20.0,2054200,41084000.0
1999-04-15,19.875,19.875,18.6875,19.75,3015000,59546250.0
1999-04-16,19.4375,19.4375,17.6875,18.34375,2784800,51083675.0
1999-04-19,18.5,18.90625,16.8125,17.875,4751400,84931275.0
1999-04-20,17.9375,19.375,17.0625,19.375,3448200,66808875.0
1999-04-21,20.6875,22.46875,20.28125,21.9375,11032200,242018887.5
1999-04-22,22.0,22.3125,21.5,21.875,5179000,113290625.0
1999-04-23,21.8125,21.84375,21.21875,21.625,2370600,51264225.0
1999-04-26,21.6875,22.3125,21.34375,21.96875,3232000,71003000.0
1999-04-27,22.0,22.4375,21.5625,21.90625,1961000,42958156.25
1999-04-28,21.8125,22.15625,21.5,21.84375,1669400,36465956.25
1999-04-29,21.84375,22.25,21.125,21.21875,1864200,39555993.75
1999-04-30,21.21875,21.71875,20.65625,21.28125,2137000,45478031.25
1999-05-03,20.75,20.78125,20.0,20.5,2767800,56739900.0
1999-05-04,20.46875,20.9375,20.1875,20.625,2377000,49025625.0
1999-05-05,20.59375,20.59375,19.5,20.1875,2180000,44008750.0
1999-05-06,20.0,20.46875,19.75,20.375,2136000,43521000.0
1999-05-07,20.4375,20.75,19.96875,20.40625,2146200,43795893.75
1999-05-10,20.4375,20.4375,19.5,20.03125,2178000,43628062.5
1999-05-11,20.0625,20.1875,19.5625,20.0,1667600,33352000.0
1999-05-12,20.1875,21.25,19.875,21.25,4636600,98527750.0
1999-05-13,21.5,21.71875,21.0625,21.65625,3885600,84147525.0
1999-05-14,21.3125,21.4375,20.75,21.125,1939400,40969825.0
1999-05-17,21.0,21.125,20.59375,20.90625,1379200,28833900.0
1999-05-18,21.0,21.25,20.90625,21.125,1771600,37425050.0
1999-05-19,21.0,21.0,20.25,20.46875,3704600,75828531.25
1999-05-20,20.34375,21.8125,20.1875,21.625,3871600,83723350.0
1999-05-21,21.8125,21.9375,20.625,20.625,2635400,54355125.0
1999-05-24,20.5,20.53125,19.5,19.5,1700200,33153900.0
1999-05-25,19.5,20.09375,18.90625,19.0,2350800,44665200.0
1999-05-26,18.90625,19.1875,18.5,19.0,1825000,34675000.0
1999-05-27,19.0,19.46875,18.8125,18.9375,1401400,26539012.5
1999-05-28,19.0625,19.75,18.96875,19.0,1342400,25505600.0
1999-06-01,18.90625,18.90625,17.625,17.90625,4221600,75593025.0
1999-06-02,18.0,18.25,17.75,18.03125,2157800,38907831.25
1999-06-03,18.09375,19.90625,18.0625,19.6875,3424800,67425750.0
1999-06-04,19.96875,20.84375,19.90625,20.71875,3870000,80181562.5
1999-06-07,20.75,20.9375,20.0,20.28125,1376000,27907000.0
1999-06-08,20.0,20.28125,19.75,20.0625,777400,15596587.5
1999-06-09,20.125,20.53125,20.0625,20.34375,974400,19822950.0
1999-06-10,20.625,20.625,19.84375,20.3125,1042000,21165625.0
1999-06-11,20.28125,20.6875,19.8125,20.4375,1724200,35238337.5
1999-06-14,20.5,20.5625,19.8125,20.15625,1718200,34632468.75
1999-06-15,20.4375,20.84375,20.40625,20.59375,1789400,36850456.25
1999-06-16,20.59375,21.46875,20.59375,21.40625,2039600,43660187.5
1999-06-17,21.40625,21.59375,21.0,21.03125,1865000,39223281.25
1999-06-18,21.03125,21.0625,20.28125,20.375,1989800,40542175.0
1999-06-21,20.46875,20.46875,19.5625,20.0625,2072600,41581537.5
1999-06-22,19.5,20.125,19.4375,19.875,1754200,34864725.0
1999-06-23,20.0,20.34375,19.8125,19.875,1770200,35182725.0
1999-06-24,20.0,20.0,19.71875,19.9375,2265000,45158437.5
1999-06-25,20.4375,20.59375,20.25,20.5,12679800,259935900.0
1999-06-28,20.125,20.96875,19.96875,20.21875,6285000,127074843.75
1999-06-29,20.21875,21.46875,20.21875,21.375,3213200,68682150.0
1999-06-30,21.3125,21.96875,21.03125,21.96875,2507000,55075656.25
1999-07-01,21.6875,21.9375,21.28125,21.875,7133800,156051875.0
1999-07-02,21.90625,22.21875,21.78125,22.15625,1932600,42819168.75
1999-07-06,22.25,22.625,22.03125,22.0625,3254000,71791375.0
1999-07-07,21.5625,22.6875,21.5625,22.5625,2321400,52376587.5
1999-07-08,22.0,22.5625,21.8125,22.5625,2140000,48283750.0
1999-07-09,22.53125,22.96875,22.5,22.9375,1788400,41021425.0
1999-07-12,22.8125,23.0,22.625,23.0,1487200,34205600.0
1999-07-13,22.75,22.8125,22.3125,22.53125,1143600,25766737.5
1999-07-14,22.59375,23.0,22.53125,22.65625,1281800,29040781.25
1999-07-15,22.65625,23.21875,22.625,22.71875,1619600,36795287.5
1999-07-16,22.6875,23.40625,22.5625,23.25,2733000,63542250.0
1999-07-19,23.375,23.53125,22.96875,23.03125,2586800,59577237.5
1999-07-20,23.0,23.1875,22.375,22.6875,2609000,59191687.5
1999-07-21,22.0,22.0,20.8125,21.34375,5586600,119238993.75
1999-07-22,21.25,22.09375,20.96875,21.125,3178800,67152150.0
1999-07-23,21.25,21.53125,20.9375,21.375,879800,18805725.0
1999-07-26,21.03125,21.5,21.0,21.34375,995400,21245568.75
1999-07-27,21.34375,21.4375,20.5,21.0,893400,18761400.0
1999-07-28,20.75,21.125,20.4375,21.125,1417000,29934125.0
1999-07-29,20.875,21.5,20.75,21.46875,1554600,33375318.75
1999-07-30,21.46875,21.46875,20.125,20.28125,1033600,20962700.0
1999-08-02,20.0,21.0,20.0,20.1875,1513800,30559837.5
1999-08-03,19.9375,20.0625,19.5,19.5,1232400,24031800.0
1999-08-04,19.25,19.3125,18.625,18.65625,1871000,34905843.75
1999-08-05,18.65625,18.65625,17.875,18.25,2890800,52757100.0
1999-08-06,15.03125,15.6875,14.875,15.0,21778000,326670000.0
1999-08-09,15.6875,16.625,15.53125,16.625,8175400,135916025.0
1999-08-10,16.5625,16.9375,15.5,15.84375,6931600,109822537.5
1999-08-11,16.25,16.59375,16.0,16.4375,2853200,46899475.0
1999-08-12,16.75,17.21875,16.46875,17.1875,4663800,80159062.5
