timestamps,open,high,low,close,volume,amount
1999-01-04,29.75,30.875,29.5625,30.0625,867300,26073206.25
1999-01-05,30.0625,30.0625,29.5625,29.6875,1049300,31151093.75
1999-01-06,31.25,31.5,30.125,30.5,2013400,61408700.0
1999-01-07,29.75,30.8125,29.5,30.0,1156600,34698000.0
1999-01-08,30.5625,30.75,28.625,28.75,1370700,39407625.0
1999-01-11,28.875,31.0,28.5,30.625,2200300,67384187.5
1999-01-12,30.375,34.0,30.375,33.5,4188000,140298000.0
1999-01-13,31.5625,34.0625,31.1875,33.0,1906200,62904600.0
1999-01-14,32.8125,32.8125,31.1875,32.0,1258800,40281600.0
1999-01-15,32.75,32.8125,31.625,32.75,1092900,35792475.0
1999-01-19,34.0,34.125,32.0,32.375,1173200,37982350.0
1999-01-20,32.5625,33.5,30.75,30.875,814100,25135337.5
1999-01-21,31.125,31.375,29.5625,29.875,1081300,32303837.5
1999-01-22,29.375,30.0,29.0,29.5,911300,26883350.0
1999-01-25,29.5,29.6875,28.25,28.625,943500,27007687.5
1999-01-26,28.875,30.0,28.875,29.125,1057500,30799687.5
1999-01-27,29.625,31.5,29.4375,30.6875,3108300,95385956.25
1999-01-28,31.6875,32.5,31.0,32.25,2028300,65412675.0
1999-01-29,32.9375,32.9375,31.75,32.0,1323000,42336000.0
1999-02-01,32.0,32.3125,31.4375,31.8125,1214400,38633100.0
1999-02-02,31.9375,31.9375,29.9375,30.6875,957500,29383281.25
1999-02-03,30.9375,31.75,30.875,31.3125,877900,27489243.75
1999-02-04,30.9375,31.6875,30.1875,30.625,833700,25532062.5
1999-02-05,30.625,30.9375,27.8125,28.6875,1173300,33659043.75
1999-02-08,29.75,30.0,28.3125,29.3125,1098400,32196850.0
1999-02-09,29.1875,29.6875,27.75,27.875,1062900,29628337.5
1999-02-10,27.875,28.25,26.8125,28.125,1372100,38590312.5
1999-02-11,28.25,30.375,28.25,30.375,1092000,33169500.0
1999-02-12,29.75,30.25,28.8125,29.625,1655700,49050112.5
1999-02-16,29.875,30.1875,28.25,28.3125,2116700,59929068.75
1999-02-17,27.625,27.75,26.5,26.8125,1338900,35899256.25
1999-02-18,27.0625,27.625,26.75,27.125,642400,17425100.0
1999-02-19,27.125,27.25,26.1875,26.8125,1277900,34263693.75
1999-02-22,26.75,27.5,26.75,27.125,975900,26471287.5
1999-02-23,27.25,28.0,27.125,28.0,958900,26849200.0
1999-02-24,27.875,28.375,26.4375,26.9375,1900600,51197412.5
1999-02-25,26.9375,26.9375,25.25,26.0,1289800,33534800.0
1999-02-26,26.0,26.0,23.75,24.0625,1717200,41320125.0
1999-03-01,24.0625,24.5,23.25,24.125,1724500,41603562.5
