timestamps,open,high,low,close,volume,amount
1999-01-04,51.53462110080249,52.39163669012518,50.957447336564755,51.46466064453125,490200,25227976.64794922
1999-01-05,51.45590203311114,52.295427287220356,51.45590203311114,52.172996520996094,473000,24677827.354431152
1999-01-06,52.70648119084316,53.624712570474564,52.51408985415848,53.537261962890625,701400,37551035.540771484
1999-01-07,52.750199305416714,53.441059011174,52.662748709751234,53.30988311767578,450300,24005440.367889404
1999-01-08,53.86954541150007,54.079426757259164,53.33609699102905,54.018211364746094,446300,24108327.73208618
1999-01-11,53.92203140258788,53.98324681287302,53.30987729973658,53.92203140258789,603000,32514984.935760498
1999-01-12,53.69467884410511,53.76463933771307,52.907623291015625,52.907623291015625,539600,28548953.52783203
1999-01-13,51.37726140732664,52.820197259617515,51.37726140732664,52.24302291870117,1082800,56568745.21636963
1999-01-14,52.33043319093476,52.33043319093476,50.773812684921,50.861263275146484,604100,30725289.14451599
1999-01-15,51.63731752929381,52.416914011076194,51.31321562113709,52.39939498901367,470100,24632955.584335327
1999-01-19,52.87247270029451,52.87247270029451,51.58482301723565,52.17171096801758,1505900,78565379.54673767
1999-01-20,52.802326614929925,53.117668976930176,51.99645168981819,52.48698425292969,687500,36084801.67388916
1999-01-21,52.13668197983802,52.574658138942844,51.59359154254804,51.646148681640625,944500,48779787.42980957
1999-01-22,50.97162868583308,51.63735196820519,50.87527400022659,51.190616607666016,550700,28190672.565841675
1999-01-25,51.23443007025119,51.73372268676758,50.65630177744275,51.73372268676758,608400,31474796.882629395
1999-01-26,51.742431465726405,52.539546966552734,51.47964613578366,52.539546966552734,459600,24147175.785827637
1999-01-27,52.592088118165066,52.69720221833461,51.295680882740605,51.400794982910156,487100,25037327.236175537
1999-01-28,51.83883666992187,52.22425552992129,51.69868435719481,51.838836669921875,268200,13903175.994873047
1999-01-29,52.25048345057809,52.697218514447236,51.602279632415005,52.294281005859375,306900,16049114.840698242
1999-02-01,52.68849736198678,52.889966262955305,52.22424293801582,52.3293571472168,191400,10015838.957977295
1999-02-02,52.2855450351966,52.303064065196665,51.505948200193664,51.94392395019531,473600,24600642.3828125
1999-02-03,51.69864315739008,52.697227589776126,51.69864315739008,52.62715148925781,238100,12530524.769592285
1999-02-04,52.42570974291328,52.69725477249227,52.005252922919986,52.41695022583008,442800,23210225.55999756
1999-02-05,52.259306184552194,52.40821805266104,51.82133010187911,52.17171096801758,438700,22887729.60166931
1999-02-08,52.416943359375004,52.56585513028232,51.61106789328836,52.031524658203125,335500,17456576.52282715
1999-02-09,51.935183202845295,52.0490569389959,51.01543379547495,51.22566223144531,341700,17503808.784484863
1999-02-10,51.2957685400324,51.52351614625522,50.99794474727948,51.3658447265625,751900,38621978.649902344
1999-02-11,51.63733767385178,52.88994823998593,51.29571661036065,52.69723892211914,687700,36239891.20674133
