timestamps,open,high,low,close,volume,amount
1999-01-04,1.1544301602974405,1.2101839134431573,1.1331125083244324,1.2003449201583862,70448000,84561898.935318
1999-01-05,1.2298618975337845,1.3954832747133963,1.200345161949765,1.3807249069213867,114162000,157626316.82395935
1999-01-06,1.4151608800778854,1.4823932930996484,1.3922034371878202,1.4184404611587524,92890000,131758934.43703651
1999-01-07,1.3971233367919922,1.469275273809786,1.3741660103341886,1.3971233367919922,61778000,86311485.5003357
1999-01-08,1.4364778936750346,1.4528760434318453,1.3512075649828001,1.387283444404602,39376000,54625672.90687561
1999-01-11,1.390563417892229,1.4413976669311523,1.3774448455108392,1.4413976669311523,37668000,54294567.31796265
1999-01-12,1.4397588807639543,1.4889533738409724,1.4299198820620984,1.4430384635925293,47818000,69003213.25206757
1999-01-13,1.3840050969217208,1.5135506203794815,1.37088651539129,1.4430384635925293,52150000,75254455.8763504
1999-01-14,1.4495968976237885,1.4512366880689347,1.3643264182882764,1.4348385334014893,33370000,47880561.8596077
1999-01-15,1.4348381868796027,1.554544737085314,1.413520540917064,1.5356870889663696,38972000,59848797.23119736
1999-01-19,1.5266687534680479,1.5266687534680479,1.3922038842457944,1.4331992864608765,81604000,116954794.57235336
1999-01-20,1.4463173643385774,1.5414267228105136,1.4200803387591485,1.4823933839797974,62532000,92697023.08702469
1999-01-21,1.4495969818589838,1.4823932930996484,1.387283940458521,1.4184404611587524,31346000,44462434.695482254
1999-01-22,1.3872837741033301,1.3922032702427114,1.3380893131414533,1.3446485996246338,40126000,53955369.708538055
1999-01-25,1.3430091166149332,1.3594072740214451,1.2774164869888853,1.3544877767562866,46620000,63146220.15237808
1999-01-26,1.347928263620831,1.4512366880689347,1.3446486827305384,1.4348385334014893,45140000,64768611.397743225
1999-01-27,1.4331993678549122,1.4397586576034473,1.3905641721515032,1.3971233367919922,24894000,34779988.34609985
1999-01-28,1.4151607126332755,1.4430375238462017,1.4020421396460256,1.4397579431533813,31008000,44644014.30130005
1999-01-29,1.4397582679599294,1.5266684270062685,1.4397582679599294,1.51518976688385,48562000,73580645.45941353
1999-02-01,1.5151894620364996,1.5315876161167474,1.4102412509013158,1.4217199087142944,28044000,39870713.11998367
1999-02-02,1.4233600061920848,1.4233600061920848,1.3184117816387693,1.3626867532730103,60898000,82984897.90081978
1999-02-03,1.3577672689715508,1.5217488171513036,1.35448756294316,1.5037107467651367,61914000,93100747.17521667
1999-02-04,1.4905928495619913,1.5184696730250316,1.4331992864608765,1.4331992864608765,37208000,53326479.05063629
1999-02-05,1.4331987935580635,1.4348385840611055,1.370885753578497,1.4135209321975708,57086000,80692255.93543053
1999-02-08,1.515189309557683,1.546345824196362,1.452876280280325,1.523388385772705,87914000,133927166.5468216
1999-02-09,1.5315875080062669,1.547985660929015,1.390563417892229,1.4413976669311523,88010000,126857408.66661072
1999-02-10,1.443037562514922,1.4922320248733854,1.4020421772162028,1.4446773529052734,41196000,59514928.230285645
1999-02-11,1.4807531002098355,1.5758623018999465,1.4495965879754338,1.572582721710205,73116000,114980958.28056335
1999-02-12,1.53322733358354,1.597180156476535,1.4807532930655845,1.5791422128677368,72222000,114048808.89773369
1999-02-16,1.6070192841216386,1.6480146740227009,1.5512655288345936,1.587341547012329,40702000,64607975.64649582
1999-02-17,1.5939004467543245,1.6726116324418387,1.533227329738352,1.5447059869766235,59274000,91560902.67205238
1999-02-18,1.5627436827477559,1.5873409067672404,1.4791130209951482,1.5594639778137207,45518000,70983681.34212494
1999-02-19,1.5988200690518077,1.6070191463289965,1.5266681639909485,1.567663550376892,42946000,67324878.83448601
1999-02-22,1.5660237188291068,1.6234172582626343,1.5250283335194443,1.6234172582626343,43834000,71160872.09868431
1999-02-23,1.6266971656373888,1.6627731870176934,1.5971805573531532,1.6184980869293213,32012000,51811360.75878143
1999-02-24,1.6053793137479804,1.7054080288819593,1.5939005307964824,1.6234172582626343,54860000,89060670.78828812
1999-02-25,1.6201381298226976,1.6266972932171682,1.4774740740485566,1.4922324419021606,64886000,96824994.2252636
1999-02-26,1.477473603065582,1.477473603065582,1.3118522779908353,1.3594069480895996,119826000,162892296.96178436
1999-03-01,1.3741655246354114,1.43647844245188,1.3216913503021726,1.4118812084197998,61122000,86297003.221035
1999-03-02,1.4266393678944285,1.4397579408607892,1.3413690189370355,1.3446485996246338,46932000,63107048.07758331
1999-03-03,1.3676061589176647,1.3840043140003513,1.2954542515322445,1.3216912746429443,43356000,57303246.903419495
1999-03-04,1.3266111528063238,1.388924084979848,1.3266111528063238,1.3840047121047974,43054000,59586938.874959946
1999-03-05,1.4233604149508645,1.4610761099239167,1.3889241770037644,1.4331992864608765,39898000,57181785.13121605
1999-03-08,1.4446777566441136,1.4938722327507783,1.4364786772930027,1.4922324419021606,32658000,48733327.08764076
1999-03-09,1.4725542864494525,1.5742227917037943,1.415160747168585,1.4217199087142944,80274000,114127143.95213127
1999-03-10,1.4348386283864312,1.538147059673454,1.3872839516811666,1.533227562904358,40956000,62794868.06631088
1999-03-11,1.5496256575101628,1.5611043160411142,1.4495969363856032,1.4741941690444946,28458000,41952617.66266823
1999-03-12,1.485673665904332,1.5184699946223439,1.3938439705155112,1.4430384635925293,40198000,58007260.15949249
1999-03-15,1.436478647064541,1.4823935405077626,1.377445302000413,1.4069620370864868,40016000,56300992.87605286
1999-03-16,1.4299185070274363,1.5020703858461664,1.4299185070274363,1.459435224533081,42620000,62201129.269599915
1999-03-17,1.452876366719749,1.515189399704444,1.4512365764007795,1.4807533025741577,28506000,42210353.64317894
