timestamps,open,high,low,close,volume,amount
2006-05-25,3.6504129931658507,4.1712533568216035,3.641354689556824,4.16672420501709,395343000,1647285247.3840714
2006-05-26,4.193895810153222,4.2337511093367155,3.995523329897705,4.069799900054932,103044000,419368460.9012604
2006-05-30,4.07342840300168,4.07433414749068,3.8813963178439606,3.985564708709717,49898000,198871707.83519745
2006-05-31,4.017265024430749,4.108751630612895,4.017265024430749,4.07070779800415,30002000,122129375.35572052
2006-06-01,4.069802808253157,4.3569443894632345,4.067085144321199,4.303501605987549,62344000,268297504.12368774
2006-06-02,4.3931769155931315,4.411293092138772,4.238283454954604,4.256399631500244,37253000,158563655.4722786
2006-06-05,4.261833522095987,4.461111849002932,4.25730437104728,4.452053546905518,37188000,165562967.3023224
2006-06-06,4.527236780555233,4.586114459877329,4.329770334787734,4.375060558319092,49045000,214574845.08275986
2006-06-07,4.377778153093088,4.384118792925792,4.234660236978202,4.311654090881348,25013000,107847403.77521515
2006-06-08,4.311654709412763,4.322524070739746,4.121434623296097,4.322524070739746,34439000,148863406.47220612
2006-06-09,4.42035236038494,4.42035236038494,4.3189016632197585,4.3279595375061035,13372000,57873474.935531616
2006-06-12,4.347888606894284,4.370533513616223,4.193900822411209,4.25277853012085,14546000,61860916.49913788
2006-06-13,4.184840612822265,4.289008950495249,4.103318035430053,4.121434211730957,16716000,68893894.28329468
2006-06-14,4.0670851488513575,4.116904956371527,4.025417901212441,4.087013244628906,15971000,65273688.52996826
2006-06-15,4.1123763009144945,4.177594628219785,4.087919482165479,4.162195682525635,16500000,68676228.76167297
2006-06-16,4.12143634448095,4.166726592708032,4.076145664329932,4.0779571533203125,12280000,50077313.84277344
2006-06-19,4.116905216368101,4.116905216368101,3.99462069773995,4.016360282897949,11509000,46224290.4958725
2006-06-20,4.052592871469206,4.076143946112418,3.937555162517077,3.9873745441436768,23792000,94867615.15426636
2006-06-21,3.9873761889486317,4.155856757403437,3.985564699974603,4.103320121765137,18063000,74118271.35944366
2006-06-22,4.202957923120263,4.252777745332386,4.155855765644571,4.221074104309082,13038000,55034364.17198181
2006-06-23,4.256401507872884,4.341547963904316,4.245531710768963,4.25277853012085,11612000,49383264.291763306
2006-06-26,4.2527771853331275,4.302596569061279,4.205675034059775,4.302596569061279,8565000,36851739.61400986
2006-06-27,4.302597477469923,4.350605383030798,4.279952141203729,4.28538703918457,9826000,42108213.04702759
2006-06-28,4.2437190403183305,4.2935384259289044,4.212015834195582,4.253683090209961,8756000,37245249.13787842
2006-06-29,4.252777463111134,4.356039645842367,4.252777463111134,4.3478875160217285,14470000,62913932.35683441
2006-06-30,4.31618387710233,4.3478875160217285,4.221073824191736,4.3478875160217285,25964000,112888551.46598816
2006-07-03,4.33882911045893,4.347887416206175,4.240096082971935,4.284480571746826,7029000,30115613.93880844
2006-07-05,4.293537483446542,4.333393242340464,4.231036829106503,4.311654090881348,13266000,57198403.16963196
2006-07-06,4.279951134089169,4.289009439233683,4.238283880656678,4.239189624786377,8097000,34324718.391895294
2006-07-07,4.2346598938321325,4.243717764891857,4.144078591692934,4.17759370803833,8380000,35008235.273361206
2006-07-10,4.1848413738872505,4.218356500504733,4.177594988433787,4.2111101150512695,4978000,20962906.15272522
2006-07-11,4.211109434466705,4.211109434466705,4.1033181185054355,4.198428153991699,8079000,33919101.05609894
2006-07-12,4.2029561020587085,4.2029561020587085,4.12505651350683,4.125962257385254,7672000,31654382.438659668
2006-07-13,4.092447537827729,4.092447537827729,4.012736030305079,4.050780296325684,16625000,67344222.42641449
2006-07-14,4.041721523002565,4.0471564175153185,3.9765032207731026,3.981032371520996,9663000,38468715.806007385
2006-07-17,3.9774102329020615,4.000961305993048,3.962917464195482,3.984657049179077,6458000,25732915.22359848
2006-07-18,3.9846578414927913,3.9946214599883443,3.9556718663923034,3.9765052795410156,12483000,49638715.4045105
2006-07-19,3.9774111524451903,4.116906135133753,3.9674475336273116,4.101507186889648,15840000,64967873.84033203
2006-07-20,4.112375235361598,4.146796094283593,4.085201191314287,4.125962257385254,8829000,36428120.77045441
