timestamps,open,high,low,close,volume,amount
1999-01-04,64.20260875248066,64.20260875248066,62.78039906492571,63.186744689941406,1502100,94912809.19876099
1999-01-05,63.18676738959942,65.7772216796875,62.27248940486245,65.7772216796875,1158300,76189755.87158203
1999-01-06,66.64065610310341,67.09779475015215,65.42161971097347,66.18351745605469,917100,60696903.858947754
1999-01-07,67.45341929777801,68.26611109654642,66.58993426158658,68.11373138427734,1751200,119280766.40014648
1999-01-08,68.2660791406819,69.84066876371847,68.2660791406819,69.73908233642578,1207600,84216915.82946777
1999-01-11,69.48509575599849,70.70413252364757,68.82478417352189,69.89144134521484,1211300,84659502.90145874
1999-01-12,71.92320836273059,72.73589998264845,68.67244188305915,69.18037414550781,7682300,531464388.29803467
1999-01-13,66.64070407756655,68.21529388427734,66.64070407756655,68.21529388427734,1849000,126130078.39202881
1999-01-14,68.01212510717922,69.07878278249719,67.40260643556894,67.45339965820312,2298100,155014657.7545166
1999-01-15,67.85971383487477,69.23113020728616,67.45336824304917,69.07875061035156,2836700,195955691.85638428
1999-01-19,68.26606901682186,72.53269833037322,68.26606901682186,72.27873229980469,3127400,226044507.39440918
1999-01-20,72.32954498398851,72.93906362149404,71.77081956627512,71.87240600585938,2038200,146490337.92114258
1999-01-21,71.31366523829374,71.97397695346312,70.4501806876876,71.51683807373047,1291900,92392603.1074524
1999-01-22,69.68828397980417,69.99304323919107,68.2660741026653,68.36766052246094,2030800,138841044.98901367
1999-01-25,68.16449001358777,68.46924928339517,65.82800227839773,66.64069366455078,2766200,184341486.81488037
1999-01-26,60.95189455176602,62.06934595188173,58.92016473337382,60.44396209716797,10010500,605074282.5737
1999-01-27,60.85027355037323,61.358205716903896,57.49792125127087,59.32647705078125,3554500,210875962.67700195
1999-01-28,58.51379269969706,60.901074172688176,57.95506724857148,59.73283004760742,3004800,179485207.72705078
1999-01-29,60.74867425282796,61.45977913538615,60.34232860565186,60.951847076416016,3824700,233122529.51316833
1999-02-01,60.90106754826191,61.815345459745416,60.54551502712945,61.10424041748047,2640200,161327415.55023193
1999-02-02,61.15503348155962,61.25661991591437,60.34234200672162,60.748687744140625,2511800,152588553.87573242
1999-02-03,60.49472033751811,60.901066066065674,58.513784910848756,59.0217170715332,2569000,151626791.1567688
1999-02-04,57.294754732572116,57.497927621694714,52.418605393629804,52.824951171875,8832800,466592228.7109375
1999-02-05,53.23129158879354,53.94239662910185,51.09797646786861,51.8598747253418,4103100,212786251.98554993
