timestamps,open,high,low,close,volume,amount
1999-01-04,22.07203483581543,22.59318010277218,21.888101212183635,22.07203483581543,5048000,111419631.85119629
1999-01-05,22.08736532816708,22.68514967778437,22.08736532816708,22.455232620239258,4471800,100415309.23118591
1999-01-06,22.485884222424463,22.807768045649354,22.24063940472931,22.715801239013672,4772800,108417976.15356445
1999-01-07,22.455226892946182,22.60850489221544,21.995392895138412,22.28662109375,4036200,89953260.05859375
1999-01-08,22.225321333309783,22.240649141125857,21.351636287793465,21.87278175354004,6724600,147085708.17985535
1999-01-11,21.41293560263079,21.642852591921745,21.091051817623455,21.397607803344727,6553400,140227082.97843933
1999-01-12,21.33630890863102,21.796143152351515,21.21368644363889,21.6888484954834,6698200,145276244.9924469
1999-01-13,21.27498320015994,21.811456119472332,21.060394032434985,21.581539154052734,6318400,136360796.9909668
1999-01-14,21.61220484766467,21.704171676803668,20.539258507709686,20.89179801940918,7559800,157937814.66712952
1999-01-15,20.96843095259233,21.458920565518465,20.70785834572532,21.24433135986328,6325000,134370395.85113525
1999-01-19,21.50491469680444,21.535570312908224,20.845818950573086,21.1983585357666,4146800,87905353.17611694
1999-01-20,21.19158726807541,21.22234428878379,20.745610467803868,20.853260040283203,3025200,63085282.273864746
1999-01-21,21.068552546418474,21.345365645568496,20.46879083159342,21.283851623535156,8431200,179448409.8083496
1999-01-22,21.037806148319454,21.42226897997734,20.576450750329993,20.991670608520508,5195000,109051728.81126404
1999-01-25,20.9147679395918,21.16082403299876,20.453412764453745,20.576440811157227,6820400,140339556.90841675
1999-01-26,20.438021763647622,21.19156808901913,20.17658732423302,21.05316162109375,5839600,122942042.60253906
1999-01-27,20.991658694842517,21.560663362761325,20.77635963130567,21.237714767456055,5312800,112831731.01654053
1999-01-28,21.237725323714397,21.791351762276104,21.237725323714397,21.606809616088867,5123400,110700328.3870697
1999-01-29,21.868246747506205,22.391116219668803,21.806732691957667,22.36035919189453,7095000,158646748.4664917
1999-02-01,22.17581907601192,22.360361259723533,21.960519861681707,22.298847198486328,5209600,116168074.36523438
1999-02-02,22.17580589736249,22.206562909702797,21.591422662896626,21.775964736938477,4945600,107695211.20300293
1999-02-03,21.77596550148751,22.06815712897922,21.65293744780679,21.868236541748047,3779000,82640065.89126587
1999-02-04,21.92975837191653,21.92975837191653,20.68409888515269,21.606809616088867,8186000,176873343.51730347
1999-02-05,21.591429450550557,21.714457538587883,20.791746878307944,20.884017944335938,4541400,94842679.09240723
1999-02-08,21.00703719938086,21.237714767456055,20.791738135844017,21.237714767456055,3785800,80401740.56663513
1999-02-09,20.86864334742228,21.529919444650844,20.684101180753846,21.222349166870117,4307600,91417391.27120972
1999-02-10,21.222329410639677,21.683684397827495,20.96089491789991,21.65292739868164,3098200,67085099.66659546
1999-02-11,21.591427898069995,21.8989980960482,21.545292368373264,21.760591506958008,3094800,67344678.59573364
1999-02-12,22.006646735327585,22.006646735327585,21.299235309873307,21.5299129486084,3335000,71802259.68360901
1999-02-16,21.62218610650571,22.114298450323762,21.591429085017083,22.06816291809082,3807600,84026737.1269226
1999-02-17,21.991269068734457,22.391110324529627,21.94513353921963,22.221946716308594,5881000,130687268.63861084
1999-02-18,22.298839017443896,22.621787720455153,22.221946469107884,22.54489517211914,5405600,121868685.34240723
