timestamps,open,high,low,close,volume,amount
2006-07-13,18181.057959542562,18561.826302384576,18170.97138092423,18529.044921875,95,1760259.267578125
2006-07-14,18559.30413851351,18962.76727195946,18559.30413851351,18660.169921875,537,10020511.248046875
2006-07-17,18660.16699153253,18877.028391704393,18609.73410777163,18798.857421875,671,12614033.330078125
2006-07-18,18685.38006258429,19088.84305988705,18647.555406587155,18697.98828125,725,13556041.50390625
2006-07-19,18534.081049231845,18534.081049231845,17979.319439594972,18054.96875,462,8341395.5625
2006-07-20,17941.495657068073,18350.001953125,17941.495657068073,18350.001953125,367,6734450.716796875
2006-07-21,18350.008210172356,18647.562280366164,18350.008210172356,18589.564453125,408,7584542.296875
2006-07-24,18408.004479895102,18433.22092438811,17974.28163461538,18029.7578125,461,8311718.3515625
2006-07-25,18042.368433716547,18140.712580315423,17684.294874305262,17807.85546875,457,8138189.94921875
2006-07-26,17870.895432394253,17991.93437422506,17651.512350325916,17795.24609375,439,7812113.03515625
2006-07-27,17616.208247950817,17996.9765625,17578.383580942624,17996.9765625,402,7234784.578125
2006-07-28,17822.98134271535,17828.02463115415,17464.907863560627,17593.51171875,435,7653177.59765625
2006-07-31,17532.991461582013,17656.55202272361,17532.991461582013,17606.119140625,279,4912107.240234375
2006-08-01,17787.67821386151,17926.368645072507,17722.115464561764,17780.11328125,375,6667542.48046875
2006-08-02,17638.900637813444,17676.725299652928,17414.47431089916,17573.337890625,346,6080374.91015625
2006-08-03,17762.456680429623,17762.456680429623,17399.34001916019,17520.37890625,426,7463681.4140625
2006-08-04,17121.96721343687,17681.772327042614,17109.358990157463,17545.603515625,558,9790446.76171875
2006-08-07,17651.50765292458,17777.58985044547,17575.85833441205,17654.029296875,298,5260900.73046875
2006-08-08,17606.117935234673,17875.93383598949,17469.949162891124,17810.37109375,593,10561550.05859375
2006-08-09,17626.293069471692,17994.453125,17469.95112808296,17994.453125,720,12956006.25
2006-08-10,18070.106230016074,18082.714453732246,17764.98721608474,17843.158203125,538,9599619.11328125
2006-08-11,17883.501028481012,18044.886260548523,17843.154720464136,17928.890625,333,5970320.578125
2006-08-14,17689.339542888447,17926.374171118172,17588.473743641756,17908.72265625,261,4674176.61328125
2006-08-15,17527.953146543907,17648.992097922714,17374.1328125,17374.1328125,539,9364657.5859375
2006-08-16,17300.99953056218,17348.910766691122,17109.354586046407,17185.00390625,641,11015587.50390625
2006-08-17,17200.137104076046,17237.96177150914,16988.318966450715,17101.79296875,456,7798417.59375
2006-08-18,17033.708119154544,17235.439673489458,16968.145363995696,16985.796875,351,5962014.703125
2006-08-21,17124.48577824963,17164.832085487444,17066.48796159527,17071.53125,266,4541027.3125
2006-08-22,17121.96041789559,17222.826164098216,16993.356591487245,17099.265625,315,5386268.671875
2006-08-23,17099.26951094665,17348.91228953148,16998.40374182147,17222.830078125,510,8783643.33984375
2006-08-24,17197.617027149612,17306.047750341317,17147.18413264184,17200.138671875,397,6828455.052734375
2006-08-25,17263.180595290494,17263.180595290494,17091.708745965378,17187.53125,282,4846883.8125
2006-08-28,17255.611564893705,17255.611564893705,16965.6224767799,17036.228515625,449,7649266.603515625
2006-08-29,17104.31496962515,17217.78897428874,16965.62451948076,16973.189453125,498,8452648.34765625
2006-08-30,16900.060453675487,17028.664315677495,16900.060453675487,16963.1015625,256,4342554.0
2006-08-31,16937.882887252446,17036.22700406097,16927.79631116952,16998.40234375,129,2192793.90234375
2006-09-01,16935.367752724313,16973.192427574053,16796.67727827526,16834.501953125,413,6952649.306640625
2006-09-05,16897.54025162658,16922.756697308752,16748.763222101734,16786.587890625,327,5489214.240234375
2006-09-06,16895.01536554428,17147.17977398524,16895.01536554428,17084.138671875,807,13786899.908203125
2006-09-07,17258.129307912175,17343.865192843357,17099.265756422043,17313.60546875,1286,22265296.6328125
2006-09-08,17253.08549167799,17290.910145635193,17116.916737432068,17167.349609375,376,6454923.453125
2006-09-11,17311.086911194474,17396.822811410148,17058.92249879543,17172.396484375,768,13188400.5
2006-09-12,17033.708927274645,17132.0530646786,16791.63105058799,16819.369140625,792,13320940.359375
2006-09-13,16849.630882679165,16895.02048996564,16630.247780794536,16695.810546875,543,9065825.126953125
2006-09-14,16768.936409366095,16852.15068026972,16731.11174077354,16816.84765625,744,12511734.65625
2006-09-15,16640.32883849996,16728.58637893753,16269.647168662186,16690.76171875,679,11333027.20703125
2006-09-18,16731.10862693804,16831.974391079337,16564.680116104893,16650.416015625,451,7509337.623046875
2006-09-19,16668.070343764157,16920.23479677118,16668.070343764157,16698.330078125,720,12022797.65625
2006-09-20,16547.027935462473,16668.066847517057,16468.856971427216,16630.2421875,670,11142262.265625
2006-09-21,16453.727181574824,16816.843919375096,16453.727181574824,16690.76171875,695,11600079.39453125
2006-09-22,16819.368340355806,16945.450561797752,16756.32722963483,16831.9765625,737,12405166.7265625
2006-09-25,16718.496877851278,17127.00313640511,16473.897451433244,16582.328125,709,11756870.640625
2006-09-26,16605.02915876763,16617.637381363504,16289.82359387075,16315.0400390625,992,16184519.71875
2006-09-27,16272.16796875,16345.295641319928,16201.561940061792,16272.16796875,632,10284010.15625
2006-09-28,16236.864078103143,16375.554484112721,16188.952846936198,16224.255859375,671,10886475.681640625
2006-09-29,16284.778708827644,16340.254882812502,16201.564447850358,16340.2548828125,636,10392402.10546875
2006-10-02,16340.253732771822,16489.030734351072,16262.082765840352,16466.3359375,567,9336412.4765625
2006-10-03,16514.246240993907,16549.549256320508,16274.690065563396,16373.0341796875,723,11837703.711914062
2006-10-04,16398.25098640502,16441.118934547245,15977.136437007874,16012.439453125,1115,17853869.990234375
2006-10-05,16060.349449936224,16060.349449936224,15888.87767059949,15939.310546875,724,11540060.8359375
2006-10-06,16085.573299115076,16252.00186750222,15962.0126953125,15962.0126953125,648,10343384.2265625
2006-10-09,16062.879985876125,16078.009857134408,15941.841015809869,15984.708984375,240,3836330.15625
2006-10-10,15962.01103379562,16042.703664614175,15904.013205394782,15926.7080078125,365,5813248.4228515625
2006-10-11,16055.309182150067,16148.610020808706,15914.097102018075,15999.8330078125,613,9807897.633789062
2006-10-12,15896.448566559742,15936.794882718523,15692.195341005912,15722.455078125,963,15140724.240234375
2006-10-13,15735.05814012097,15782.96937484249,15621.584163148942,15634.1923828125,665,10396737.934570312
2006-10-16,15672.016022379503,15692.189172528986,15571.150271632088,15603.931640625,479,7474283.255859375
2006-10-17,15719.932441754296,15881.317696209264,15659.412971333682,15707.32421875,764,12000395.703125
2006-10-18,15561.067705877558,15861.14339166583,15513.156461928169,15709.8447265625,1060,16652435.41015625
2006-10-19,15762.80035405304,15798.10337836223,15641.76141356439,15661.9345703125,482,7549052.462890625
2006-10-20,15677.064292929801,15881.317503115955,15666.977714649003,15679.5859375,765,11994883.2421875
2006-10-23,15757.756894261087,15765.321827959724,15472.811058279089,15495.505859375,844,13078206.9453125
2006-10-24,15576.198131876528,15586.284709912388,15457.680839955176,15470.2890625,443,6853338.0546875
2006-10-25,15477.854722400103,15508.114457927766,15331.599334016393,15382.0322265625,1227,18873753.541992188
2006-10-26,15278.63944837782,15440.024648030598,15197.946848551432,15250.9013671875,947,14442603.594726562
2006-10-27,15341.681121407575,15508.109614835073,15273.59673773269,15442.546875,734,11334829.40625
2006-10-30,15525.767040824641,15576.19993684811,15394.641511163625,15472.8125,619,9577670.9375
2006-10-31,15432.46149090132,15621.584793485896,15399.680118453327,15485.416015625,568,8795716.296875
2006-11-01,15417.33238841434,15777.927503158084,15382.02937018768,15719.9296875,1358,21347664.515625
2006-11-02,15818.276948902872,15848.536684816603,15709.846228545337,15747.6708984375,1064,16755521.8359375
2006-11-03,15621.583760773932,15876.269791417702,15621.583760773932,15825.8369140625,796,12597366.18359375
2006-11-06,15709.845647503053,15719.932225767901,15409.76994412378,15495.505859375,1064,16487218.234375
2006-11-07,15460.205844122205,15460.205844122205,15281.169045079198,15402.2080078125,1182,18205409.865234375
2006-11-08,15545.93872552804,15550.982014652298,15187.865197705658,15311.42578125,1228,18802430.859375
2006-11-09,15293.776049884213,15518.202442042448,15245.864797625713,15482.8994140625,694,10745132.193359375
2006-11-10,15462.7223014844,15566.109714132943,15424.8976383203,15437.505859375,591,9123565.962890625
2006-11-13,15440.026433873318,15510.632466887926,15296.292723807863,15361.85546875,445,6836025.68359375
2006-11-14,15268.555379245303,15482.895132711174,15132.386594690513,15165.16796875,1815,27524779.86328125
2006-11-15,15150.037175056468,15172.731971091007,14965.957162776322,15071.8662109375,1049,15810387.655273438
2006-11-16,14981.089747828843,15059.260726146078,14950.830014286686,15044.130859375,1073,16142352.412109375
2006-11-17,15150.03411414858,15155.077401137312,15016.387008947204,15104.64453125,684,10331576.859375
2006-11-20,15066.828754485803,15107.175074163086,14965.962955292593,15041.6123046875,610,9175383.505859375
